SO HD,NGAY,MA KH,TEN KH,MA NV,Tên NV,MÃ HH,TÊN SP,SL,ĐƠN GIÁ,THÀNH TIỀN,(+VAT),NHÃN HÀNG,CỬA HÀNG,HỆ THỐNG,20231031
23100006381,02/10/2023,4812_THISO,CÔNG TY TNHH THISO RETAIL,NV0130,Nam Phương - 0333719804,6010002,Pin Fujitsu - LR6(4B) FU-W-FI  - AA       (3005),40,39000,1560000,1716000.0000000002,FUJITSU,CÔNG TY TNHH THISO RETAIL,EMART,20231031
23100006381,02/10/2023,4812_THISO,CÔNG TY TNHH THISO RETAIL,NV0130,Nam Phương - 0333719804,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),50,39000,1950000,2145000,FUJITSU,CÔNG TY TNHH THISO RETAIL,EMART,20231031
23100006385,02/10/2023,BHX_1522_VLOC,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 454g - Fresh Box (1101),24,24800,595200,654720,BAKING SODA,BACH HOA XANH KHO VINH LOC,BHX,20231031
23100006386,02/10/2023,BHX_9899_TPHU,Công Ty Cổ Phần Thương Mại Bách Hóa Xanh ,NV0130,Nam Phương - 0333719804,2320001,Muối Nổi Baking Soda 454g - Fresh Box (1101),24,24800,595200,654720,BAKING SODA,BACH HOA XANH KIEN GIANG,BHX,20231031
23100006388,02/10/2023,COOP_CHEER,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010013,Pin Fujitsu - LR6(4B+2B) FU-W-FI-AA       (3005),100,39000,3900000,4290000,FUJITSU,COOP CHEERS,COOP CHEERS,20231031
23100006388,02/10/2023,COOP_CHEER,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010003,Pin Fujitsu - LR03(2B) FU-W- FI - AAA     (3500),50,20000,1000000,1100000,FUJITSU,COOP CHEERS,COOP CHEERS,20231031
23100006388,02/10/2023,COOP_CHEER,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010001,Pin Fujitsu - LR6(2B) FU-W-FI  - AA       (2404),100,20000,2000000,2200000,FUJITSU,COOP CHEERS,COOP CHEERS,20231031
23100006388,02/10/2023,COOP_CHEER,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),100,39000,3900000,4290000,FUJITSU,COOP CHEERS,COOP CHEERS,20231031
23100006389,02/10/2023,COOP_TCTN,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,2320001,Muối Nổi Baking Soda 454g - Fresh Box (1101),24,28800,691200,760320.0000000001,BAKING SODA,COOP TAN CHAU TAY NINH,COOP MART,20231031
23100006390,02/10/2023,COOP_QBINH,Liên Hiệp HTX Thương Mại TP.HCM,NV0132,Lữ Diệu Quang ,2320001,Muối Nổi Baking Soda 454g - Fresh Box (1101),48,28800,1382400,1520640.0000000002,BAKING SODA,COOP QUANG BINH,COOP MART,20231031
